GEOID,NAME,variable,value
01,Alabama,P008006,53595
02,Alaska,P008006,38135
04,Arizona,P008006,176695
05,Arkansas,P008006,36102
06,California,P008006,4861007
22,Louisiana,P008006,70132
21,Kentucky,P008006,48930
08,Colorado,P008006,139028
09,Connecticut,P008006,135565
10,Delaware,P008006,28549
11,District of Columbia,P008006,21056
12,Florida,P008006,454821
13,Georgia,P008006,314467
15,Hawaii,P008006,525078
16,Idaho,P008006,19069
17,Illinois,P008006,586934
18,Indiana,P008006,102474
19,Iowa,P008006,53094
20,Kansas,P008006,67762
23,Maine,P008006,13571
24,Maryland,P008006,318853
25,Massachusetts,P008006,349768
26,Michigan,P008006,238199
27,Minnesota,P008006,214234
28,Mississippi,P008006,25742
29,Missouri,P008006,98083
30,Montana,P008006,6253
31,Nebraska,P008006,32293
32,Nevada,P008006,195436
33,New Hampshire,P008006,28407
34,New Jersey,P008006,725726
35,New Mexico,P008006,28208
36,New York,P008006,1420244
37,North Carolina,P008006,208962
38,North Dakota,P008006,6909
39,Ohio,P008006,192233
40,Oklahoma,P008006,65076
41,Oregon,P008006,141263
42,Pennsylvania,P008006,349088
44,Rhode Island,P008006,30457
45,South Carolina,P008006,59051
46,South Dakota,P008006,7610
47,Tennessee,P008006,91242
48,Texas,P008006,964596
49,Utah,P008006,55285
50,Vermont,P008006,7947
51,Virginia,P008006,439890
53,Washington,P008006,481067
54,West Virginia,P008006,12406
55,Wisconsin,P008006,129234
56,Wyoming,P008006,4426
72,Puerto Rico,P008006,6831
