GEOID,NAME,variable,estimate,moe,geometry
19153004602,"Census Tract 46.02, Polk County, Iowa",medincome,41985,8586,"list(c(-93.62575, -93.616093, -93.606481, -93.596836, -93.596865, -93.606445, -93.616077, -93.625696, -93.62574, -93.625744, -93.62575, 41.540962, 41.540949, 41.540885, 41.54064, 41.526314, 41.526357, 41.526429, 41.526475, 41.533731, 41.535546, 41.540962))"
19153011701,"Census Tract 117.01, Polk County, Iowa",medincome,127923,14809,"list(c(-93.755925, -93.755882, -93.755864, -93.755798, -93.736402, -93.736472, -93.728203, -93.725746, -93.726621, -93.726221, -93.727422, -93.727722, -93.724921, -93.723221, -93.722421, -93.719121, -93.720121, -93.716721, -93.715821, -93.717121, -93.715751, -93.702525, -93.702057, -93.702795, -93.706568, -93.717101, -93.736449, -93.755933, -93.755925, 41.658441, 41.665684, 41.672956, 41.68835, 41.688373, 41.672973, 41.672933, 41.672744, 41.672188, 41.670488, 41.670988, 41.669788, 41.667488, 41.667488, 
41.666388, 41.665488, 41.662988, 41.661588, 41.660488, 41.659588, 41.658291, 41.658399, 41.653023, 41.652758, 41.652614, 41.652838, 41.652284, 41.651738, 41.658441))"
19153000400,"Census Tract 4, Polk County, Iowa",medincome,44238,6139,"list(c(-93.62481, -93.619972, -93.615114, -93.610254, -93.604793, -93.6007, -93.600491, -93.600537, -93.600531, -93.608433, -93.610292, -93.615088, -93.616313, -93.619942, -93.624787, -93.62481, 41.636753, 41.636752, 41.636752, 41.636757, 41.636779, 41.636792, 41.636794, 41.633156, 41.62772, 41.627709, 41.627706, 41.627699, 41.627697, 41.627693, 41.627661, 41.636753))"
19153005000,"Census Tract 50, Polk County, Iowa",medincome,25806,11561,"list(c(-93.638456, -93.634194, -93.634216, -93.634238, -93.634245, -93.633924, -93.631811, -93.628191, -93.625571, -93.625807, -93.625802, -93.625792, -93.625777, -93.625763, -93.625655, -93.635956, -93.637733, -93.638456, 41.600416, 41.60044, 41.604063, 41.607703, 41.608963, 41.61304, 41.614838, 41.61301, 41.612932, 41.61215, 41.60894, 41.607678, 41.603952, 41.600802, 41.595866, 41.596126, 41.5983, 41.600416))"
19153000801,"Census Tract 8.01, Polk County, Iowa",medincome,66694,11251,"list(c(-93.70268, -93.697657, -93.697643, -93.697618, -93.697614, -93.680871, -93.678471, -93.678253, -93.678156, -93.678121, -93.678081, -93.678082, -93.678038, -93.683341, -93.687753, -93.697701, -93.702567, -93.70268, 41.636661, 41.63668, 41.643914, 41.648904, 41.65222, 41.651473, 41.647942, 41.647332, 41.644929, 41.642325, 41.636792, 41.63542, 41.629496, 41.629473, 41.629453, 41.629404, 41.629397, 41.636661))"
19153004900,"Census Tract 49, Polk County, Iowa",medincome,32161,19458,"list(c(-93.625807, -93.625571, -93.625307, -93.619864, -93.616017, -93.612217, -93.611317, -93.610917, -93.611417, -93.613573, -93.616706, -93.625655, -93.625763, -93.625777, -93.625792, -93.625802, -93.625807, 41.61215, 41.612932, 41.613777, 41.612858, 41.611689, 41.609389, 41.608789, 41.607389, 41.603989, 41.600358, 41.595659, 41.595866, 41.600802, 41.603952, 41.607678, 41.60894, 41.61215))"
19153010407,"Census Tract 104.07, Polk County, Iowa",medincome,105385,14989,"list(c(-93.755948, -93.755933, -93.736449, -93.736479, -93.73649, -93.736493, -93.736538, -93.755902, -93.755935, -93.755948, 41.643909, 41.651738, 41.652284, 41.643843, 41.63843, 41.636598, 41.629322, 41.629426, 41.63438, 41.643909))"
19153010404,"Census Tract 104.04, Polk County, Iowa",medincome,89081,13076,"list(c(-93.73649, -93.736479, -93.736449, -93.717101, -93.717005, -93.717002, -93.717024, -93.71707, -93.717062, -93.721327, -93.72248, -93.731088, -93.736493, -93.73649, 41.63843, 41.643843, 41.652284, 41.652838, 41.647149, 41.643835, 41.643835, 41.643376, 41.636592, 41.636583, 41.636581, 41.636597, 41.636598, 41.63843))"
19153004004,"Census Tract 40.04, Polk County, Iowa",medincome,77922,5696,"list(c(-93.703369, -93.659433, -93.657795, -93.64492, -93.644917, -93.652217, -93.65224, -93.659439, -93.663998, -93.664421, -93.664473, -93.66558, -93.666201, -93.680772, -93.680155, -93.677089, -93.700811, -93.701399, -93.703316, -93.703164, -93.703191, -93.703369, 41.555648, 41.555523, 41.555493, 41.555438, 41.548226, 41.548231, 41.540982, 41.540938, 41.541105, 41.541537, 41.546499, 41.547929, 41.548092, 41.548186, 41.545978, 41.541023, 41.541043, 41.541251, 41.541002, 41.545049, 41.548334, 41.555648
))"
19153000202,"Census Tract 2.02, Polk County, Iowa",medincome,60000,10075,"list(c(-93.579005, -93.578639, -93.577639, -93.577131, -93.576164, -93.561265, -93.561251, -93.561182, -93.561153, -93.561144, -93.563902, -93.565266, -93.565339, -93.572427, -93.579568, -93.579005, 41.605389, 41.612233, 41.614946, 41.616296, 41.622284, 41.622238, 41.62027, 41.617169, 41.614992, 41.610389, 41.609499, 41.609059, 41.609036, 41.606721, 41.604292, 41.605389))"
