Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Sharknado,2013,Not Rated,11 Jul 2013,86 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, John Heard","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNTNkOTA0NjYtM2VjOC00ZmYzLWI1NzQtMjY4NTU2MGNkZmU0XkEyXkFqcGc@._V1_SX300.jpg,,N/A,3.3,"54,595",tt2724064,movie,N/A,N/A,N/A,N/A,True
Sharknado,2013,Not Rated,11 Jul 2013,86 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, John Heard","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNTNkOTA0NjYtM2VjOC00ZmYzLWI1NzQtMjY4NTU2MGNkZmU0XkEyXkFqcGc@._V1_SX300.jpg,,N/A,3.3,"54,595",tt2724064,movie,N/A,N/A,N/A,N/A,True
Sharknado 2: The Second One,2014,TV-14,30 Jul 2014,95 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Vivica A. Fox","Fin and April are on their way to New York City, until a category seven hurricane spawns heavy rain, storm surges, and deadly Sharknadoes.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA0MTIxMDEwNF5BMl5BanBnXkFtZTgwMDk3ODIxMjE@._V1_SX300.jpg,,N/A,4.0,"21,223",tt3062074,movie,N/A,N/A,N/A,N/A,True
Sharknado 2: The Second One,2014,TV-14,30 Jul 2014,95 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Vivica A. Fox","Fin and April are on their way to New York City, until a category seven hurricane spawns heavy rain, storm surges, and deadly Sharknadoes.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA0MTIxMDEwNF5BMl5BanBnXkFtZTgwMDk3ODIxMjE@._V1_SX300.jpg,,N/A,4.0,"21,223",tt3062074,movie,N/A,N/A,N/A,N/A,True
Sharknado 3: Oh Hell No!,2015,TV-14,22 Jul 2015,93 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Cassandra Scerbo","A monstrous tornado unleashes ravenous sharks from Washington, D.C., all the way down to Orlando, Florida.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTc5MDUzNzQzOF5BMl5BanBnXkFtZTgwMDg4NTYzNTE@._V1_SX300.jpg,,N/A,4.0,"14,102",tt3899796,movie,N/A,N/A,N/A,N/A,True
Sharknado 3: Oh Hell No!,2015,TV-14,22 Jul 2015,93 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Cassandra Scerbo","A monstrous tornado unleashes ravenous sharks from Washington, D.C., all the way down to Orlando, Florida.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTc5MDUzNzQzOF5BMl5BanBnXkFtZTgwMDg4NTYzNTE@._V1_SX300.jpg,,N/A,4.0,"14,102",tt3899796,movie,N/A,N/A,N/A,N/A,True
Sharknado 4: The 4th Awakens,2016,TV-14,31 Jul 2016,95 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Masiela Lusha","Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZmM4YzM5MTUtNmI0OS00MjE2LTkxMDMtYTczYTE2ODM4YTI2XkEyXkFqcGc@._V1_SX300.jpg,,N/A,3.9,"9,479",tt4831420,movie,N/A,N/A,N/A,N/A,True
Sharknado 4: The 4th Awakens,2016,TV-14,31 Jul 2016,95 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Masiela Lusha","Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZmM4YzM5MTUtNmI0OS00MjE2LTkxMDMtYTczYTE2ODM4YTI2XkEyXkFqcGc@._V1_SX300.jpg,,N/A,3.9,"9,479",tt4831420,movie,N/A,N/A,N/A,N/A,True
Sharknado 5: Global Swarming,2017,TV-14,06 Aug 2017,93 min,"Action, Adventure, Comedy",Anthony C. Ferrante,"Thunder Levin, Scotty Mullen","Ian Ziering, Tara Reid, Cassandra Scerbo","With much of America lying in ruins, the rest of the world braces for a global sharknado, and Fin and his family must travel around the world to stop them.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjQ3Mzk5NzAwNV5BMl5BanBnXkFtZTgwNDkwOTc3MjI@._V1_SX300.jpg,,N/A,3.9,"7,303",tt6298780,movie,N/A,N/A,N/A,N/A,True
Sharknado 5: Global Swarming,2017,TV-14,06 Aug 2017,93 min,"Action, Adventure, Comedy",Anthony C. Ferrante,"Thunder Levin, Scotty Mullen","Ian Ziering, Tara Reid, Cassandra Scerbo","With much of America lying in ruins, the rest of the world braces for a global sharknado, and Fin and his family must travel around the world to stop them.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjQ3Mzk5NzAwNV5BMl5BanBnXkFtZTgwNDkwOTc3MjI@._V1_SX300.jpg,,N/A,3.9,"7,303",tt6298780,movie,N/A,N/A,N/A,N/A,True
